Карась золотой; 469; мелочь; Червь; Озеро; Под сенью клена
Карп голый; 627; мелочь; Боил; Майн; Даунтаун
Карп; 2.297; мелочь; Боил; Майн; Даунтаун
Карп голый; 8.525; зачетная; Боил; Майн; Даунтаун
Карп; 4.222; зачетная; Боил; Майн; Даунтаун
Карп голый; 1.283; мелочь; Боил; Майн; Даунтаун
Карп; 6.111; зачетная; Боил; Майн; Даунтаун
Карп голый; 507; мелочь; Боил; Майн; Даунтаун
Карп голый; 11.535; зачетная; Боил; Майн; Даунтаун
Карп; 7.573; зачетная; Боил; Майн; Даунтаун
Сазан; 1.654; мелочь; Боил; Майн; Даунтаун
Карп голый; 2.435; мелочь; Боил; Майн; Даунтаун
Толстолобик; 14.158; зачетная; Капуста; Озеро; Северный берег
Толстолобик; 3.327; зачетная; Капуста; Озеро; Северный берег
Толстолобик; 874; мелочь; Капуста; Озеро; Северный берег
Толстолобик; 20.345; мелочь; Капуста; Озеро; Северный берег
Плотва; 82; мелочь; Червь; Озеро; Под сенью клена
Плотва; 233; мелочь; Червь; Озеро; Под сенью клена
